date,resting_hr,hrv_ms,day_strain,sleep_efficiency_pct,asleep_min,sleep_debt_min,resting_hr_ma7,elevated_hr,low_hrv,high_strain_flag,poor_sleep,short_sleep,sleep_debt_flag,any_anomaly
2025-01-19,80.0,40.0,9.6,88.0,359.0,20.0,66.83333333333333,False,False,False,False,True,False,True
2025-01-19,80.0,40.0,9.6,95.0,243.0,79.0,70.66666666666667,False,False,False,False,True,True,True
2025-01-20,58.0,71.0,6.3,84.0,325.0,79.0,70.66666666666667,False,False,False,True,True,True,True
2025-01-20,58.0,71.0,6.3,92.0,449.0,0.0,66.16666666666667,False,False,False,False,False,False,False
2025-01-20,54.0,82.0,6.7,84.0,325.0,79.0,64.16666666666667,False,False,False,True,True,True,True
2025-01-20,54.0,82.0,6.7,92.0,449.0,0.0,62.714285714285715,False,False,False,False,False,False,False
2025-01-21,60.0,65.0,8.3,91.0,333.0,11.0,63.42857142857143,False,False,False,False,True,False,True
2025-01-22,53.0,80.0,5.2,92.0,421.0,73.0,59.57142857142857,False,False,False,False,False,True,True
2025-01-22,53.0,80.0,5.2,95.0,139.0,61.0,55.714285714285715,False,False,False,False,True,True,True
2025-01-24,54.0,88.0,5.2,77.0,278.0,61.0,55.142857142857146,False,False,False,True,True,True,True
2025-02-07,,,9.3,,,,54.666666666666664,False,False,False,False,False,False,False
2025-02-08,67.0,49.0,17.6,87.0,386.0,0.0,56.833333333333336,False,False,True,False,False,False,True
2025-02-08,67.0,49.0,17.6,97.0,74.0,61.0,59.0,False,False,True,False,True,True,True
2025-02-09,80.0,23.0,9.9,88.0,249.0,61.0,62.333333333333336,False,True,False,False,True,True,True
2025-02-09,80.0,23.0,9.9,91.0,196.0,127.0,66.83333333333333,False,True,False,False,True,True,True
2025-02-10,76.0,35.0,9.6,88.0,183.0,127.0,70.66666666666667,False,True,False,False,True,True,True
2025-02-10,76.0,35.0,9.6,95.0,167.0,127.0,74.33333333333333,False,True,False,False,True,True,True
2025-02-10,76.0,35.0,9.6,89.0,98.0,127.0,74.57142857142857,False,True,False,False,True,True,True
2025-02-11,72.0,38.0,7.5,85.0,397.0,127.0,75.28571428571429,False,True,False,False,False,True,True
2025-02-12,65.0,64.0,10.3,85.0,291.0,0.0,75.0,False,False,False,False,True,False,True
2025-02-13,72.0,51.0,9.1,87.0,371.0,88.0,73.85714285714286,False,False,False,False,False,True,True
